Wall time,Step,Value
1490307495.171687,195,0.0
1490307595.377088,39377,180.0
1490307695.606331,78842,270.0
1490307795.70633,117436,220.0
1490307896.010311,158468,230.0
1490307996.106921,198368,130.0
1490308096.147641,240420,230.0
1490308196.304878,281974,90.0
1490308296.460981,324137,180.0
1490308396.615562,366396,230.0
1490308496.655381,408418,250.0
1490308597.249587,451009,260.0
1490308697.303005,492308,250.0
1490308797.598808,534231,210.0
1490308897.662701,576116,260.0
1490308997.77204,618205,290.0
1490309097.814322,660697,200.0
1490309198.005443,702714,200.0
1490309298.186141,744860,820.0
1490309398.369304,787518,230.0
1490309498.493573,828229,300.0
1490309598.713741,869940,150.0
1490309698.823537,912601,160.0
1490309799.09871,954805,280.0
1490309899.395552,997307,720.0
1490309999.420401,1036629,140.0
1490310099.497624,1075242,220.0
1490310199.627439,1116648,200.0
1490310299.909181,1157094,220.0
1490310400.19946,1195925,400.0
1490310500.289052,1235123,160.0
1490310600.310744,1276796,270.0
1490310700.628843,1319151,210.0
1490310800.758555,1361514,170.0
1490310900.98595,1403860,1160.0
1490311000.997413,1445916,200.0
1490311101.236612,1488640,240.0
1490311201.319921,1530931,160.0
1490311301.402809,1573485,180.0
1490311401.449124,1616157,210.0
1490311501.574159,1658191,270.0
1490311601.622673,1700598,1050.0
1490311701.67925,1743288,290.0
1490311801.800872,1785345,870.0
1490311901.804126,1827951,320.0
1490312001.997127,1870599,330.0
1490312102.228632,1912738,220.0
1490312202.43414,1955281,600.0
1490312302.678251,1998096,230.0
1490312402.823997,2040382,420.0
1490312503.241905,2083162,370.0
1490312603.199592,2125641,290.0
1490312703.331998,2167878,1210.0
1490312803.385869,2210603,240.0
1490312903.538508,2252889,270.0
1490313003.562746,2295300,670.0
1490313103.672666,2337827,340.0
1490313203.877194,2380218,680.0
1490313304.168638,2422594,200.0
1490313404.45817,2465331,100.0
1490313504.601418,2507706,120.0
1490313604.784494,2549873,380.0
1490313705.063518,2592477,980.0
1490313805.313261,2634781,400.0
1490313905.345774,2677024,560.0
1490314005.510657,2719781,460.0
1490314105.767013,2762245,340.0
1490314205.786273,2804427,250.0
1490314305.831931,2846940,250.0
1490314405.899832,2889187,380.0
1490314506.008084,2931567,520.0
1490314606.282192,2974254,950.0
1490314706.538001,3016196,1440.0
1490314806.934438,3058845,1090.0
1490314907.070576,3101424,360.0
1490315007.198508,3143694,630.0
1490315107.451424,3186337,690.0
1490315207.678986,3228721,180.0
1490315307.892028,3271011,870.0
1490315407.905981,3313541,640.0
1490315507.936601,3355954,750.0
1490315608.027943,3398381,1380.0
1490315708.206275,3440750,250.0
1490315808.484417,3483395,1380.0
1490315908.596549,3525878,820.0
1490316008.614692,3568330,600.0
1490316108.631537,3610823,870.0
1490316208.897233,3653362,310.0
1490316308.983517,3695611,450.0
1490316409.214235,3738121,290.0
1490316509.510081,3780483,610.0
1490316609.728505,3822843,490.0
1490316709.765004,3865490,460.0
1490316809.862555,3907814,190.0
1490316909.98382,3950297,390.0
1490317010.192493,3992858,500.0
1490317110.409037,4035264,280.0
1490317210.616975,4077746,700.0
1490317310.860956,4120162,380.0
1490317411.018088,4162523,310.0
1490317511.068924,4204991,320.0
1490317611.217804,4247763,1100.0
1490317711.485814,4289980,590.0
1490317811.611605,4332691,380.0
1490317911.674105,4375208,480.0
1490318011.715403,4417295,200.0
1490318111.955359,4460169,310.0
1490318211.981423,4502490,270.0
1490318312.189413,4544685,310.0
1490318412.367509,4587319,200.0
1490318512.440352,4629742,1130.0
1490318612.619531,4671993,350.0
1490318712.724035,4714521,2550.0
1490318812.721459,4756752,600.0
1490318912.858598,4799283,300.0
1490319013.048215,4841854,490.0
1490319113.16134,4883977,830.0
1490319213.381659,4926622,620.0
1490319313.519434,4969358,790.0
1490319413.51031,5011732,320.0
1490319513.774137,5054111,1110.0
1490319613.897285,5096887,610.0
1490319714.124309,5139050,1500.0
1490319814.169805,5181375,710.0
1490319914.25672,5224151,580.0
1490320014.461482,5266331,720.0
1490320114.559755,5308606,780.0
1490320214.8961,5351478,320.0
1490320314.940377,5393520,310.0
1490320415.046894,5436049,410.0
1490320515.31233,5478629,520.0
1490320615.448964,5520782,640.0
1490320715.541387,5563204,990.0
1490320815.748572,5605834,290.0
1490320915.768855,5648130,560.0
1490321016.032122,5690586,940.0
1490321116.195595,5733121,460.0
1490321216.4382,5775323,200.0
1490321317.023038,5818137,300.0
1490321417.043632,5860493,730.0
1490321517.177573,5902783,320.0
1490321617.362657,5945467,360.0
1490321717.427163,5987912,450.0
1490321817.671153,6030291,250.0
1490321917.804385,6072836,290.0
1490322018.086745,6115207,210.0
1490322118.34144,6157628,820.0
1490322218.399286,6200277,540.0
1490322318.642056,6242476,770.0
1490322418.725221,6285072,240.0
1490322518.810388,6327843,520.0
1490322618.836337,6370051,230.0
1490322718.841461,6412394,810.0
1490322819.055979,6454983,710.0
1490322919.182756,6496912,750.0
1490323019.245354,6539386,400.0
1490323119.510391,6582059,260.0
1490323219.60378,6624212,340.0
1490323319.841624,6666792,330.0
1490323419.882884,6709333,600.0
1490323520.260852,6751585,740.0
1490323620.523921,6793988,250.0
1490323720.675859,6836329,790.0
1490323820.772459,6878482,950.0
1490323920.904998,6921199,1520.0
1490324020.957101,6963348,450.0
1490324121.014787,7005554,770.0
1490324221.11688,7048155,830.0
1490324321.186345,7090346,370.0
1490324421.407742,7132882,600.0
1490324521.542375,7175563,370.0
1490324621.777555,7217875,410.0
1490324721.916452,7260027,100.0
1490324822.177194,7302805,1630.0
1490324922.397276,7345013,1330.0
1490325022.662767,7387408,240.0
1490325122.792786,7429958,390.0
1490325222.943867,7472197,440.0
1490325322.995939,7514507,850.0
1490325423.0432,7556836,280.0
1490325523.045011,7599143,670.0
1490325623.262272,7641594,350.0
1490325723.281046,7683892,1210.0
1490325823.47726,7726500,620.0
1490325923.637962,7769045,480.0
1490326023.808416,7811242,670.0
1490326123.997744,7853580,280.0
1490326224.024156,7896112,240.0
1490326324.185642,7938360,710.0
1490326424.291959,7980702,500.0
1490326524.353155,8023344,180.0
1490326624.584973,8065678,540.0
1490326724.633513,8107817,180.0
1490326824.814977,8150344,160.0
1490326924.950175,8192593,870.0
1490327025.09641,8235003,410.0
1490327125.100593,8277378,440.0
1490327225.368887,8319781,1110.0
1490327325.691249,8362307,530.0
1490327425.755886,8404530,230.0
1490327525.987155,8446958,640.0
1490327626.097474,8489493,710.0
1490327726.299369,8531919,340.0
1490327826.469674,8574292,380.0
1490327926.658846,8616762,560.0
1490328026.687387,8659127,540.0
1490328126.804269,8701339,540.0
1490328227.056052,8743856,640.0
1490328327.072864,8785868,350.0
1490328427.272663,8828432,610.0
1490328527.499329,8870842,270.0
1490328627.554813,8912967,420.0
1490328727.718798,8955680,580.0
1490328827.824924,8997740,1590.0
1490328927.852854,9039949,620.0
1490329028.142481,9082565,1290.0
1490329128.361553,9124798,590.0
1490329228.517095,9167027,290.0
1490329328.605825,9209908,460.0
1490329428.845124,9252225,350.0
1490329528.9438,9294321,590.0
1490329629.084632,9336921,950.0
1490329729.386916,9379267,240.0
1490329829.447366,9421422,1100.0
1490329929.705092,9463989,340.0
1490330029.966525,9506114,760.0
1490330130.141404,9548392,740.0
1490330230.369766,9591052,600.0
1490330330.363837,9633026,170.0
1490330430.500819,9675520,520.0
1490330530.798811,9717913,460.0
1490330631.01085,9760035,990.0
1490330731.242193,9802493,550.0
1490330831.292435,9844805,400.0
1490330931.426663,9886965,680.0
1490331031.575478,9929401,420.0
1490331131.74771,9971784,190.0
1490331231.875182,10014106,730.0
1490331331.918009,10056618,430.0
1490331432.166129,10098965,1070.0
1490331532.224487,10141240,2300.0
1490331632.29325,10183658,450.0
1490331732.449546,10226027,990.0
1490331832.699861,10268405,970.0
1490331932.85968,10310826,370.0
1490332033.086414,10352920,310.0
1490332133.283839,10395212,1250.0
1490332233.554052,10438029,230.0
1490332333.777338,10479976,220.0
1490332433.710097,10522388,390.0
1490332533.791568,10565100,220.0
1490332633.834237,10607158,660.0
1490332734.244349,10649303,800.0
1490332834.467027,10691951,390.0
1490332934.681729,10734376,400.0
1490333034.923088,10776591,1540.0
1490333134.937625,10818937,1000.0
1490333235.070196,10861315,1540.0
1490333335.172337,10903649,270.0
1490333435.355572,10946004,490.0
1490333535.476395,10988389,790.0
1490333635.966707,11030998,450.0
1490333735.950548,11073411,330.0
1490333836.042157,11115510,2860.0
1490333936.318493,11158055,220.0
1490334036.527249,11200275,200.0
1490334136.751711,11242705,1100.0
1490334236.871596,11285437,780.0
1490334337.121835,11327700,320.0
1490334437.390425,11369975,870.0
1490334537.441578,11412483,850.0
1490334637.61628,11454893,580.0
1490334738.064042,11497252,370.0
1490334838.13531,11539937,360.0
1490334938.145266,11582047,190.0
1490335038.210086,11624563,300.0
1490335138.407422,11666904,920.0
1490335238.609314,11709179,270.0
1490335338.842364,11751701,230.0
1490335439.009021,11794325,880.0
1490335539.266275,11836401,590.0
1490335639.325828,11878837,280.0
1490335739.853772,11921461,890.0
1490335840.109675,11963766,180.0
1490335940.741598,12006462,420.0
1490336040.912939,12049027,890.0
1490336140.953891,12091022,190.0
1490336241.001472,12133569,310.0
1490336341.115835,12175996,330.0
1490336441.163367,12217786,870.0
1490336541.265284,12260270,540.0
1490336641.483139,12302606,310.0
1490336741.745963,12344972,420.0
1490336841.978055,12387363,810.0
1490336942.117857,12429595,350.0
1490337042.342292,12472055,360.0
1490337142.492112,12514538,380.0
1490337242.750186,12556763,670.0
1490337342.76863,12599275,550.0
1490337442.786041,12641648,700.0
1490337542.87674,12683836,290.0
1490337643.209932,12726498,350.0
1490337743.425039,12768857,970.0
1490337843.54313,12811072,430.0
1490337943.579402,12853419,1400.0
1490338043.828513,12895777,300.0
1490338144.092545,12938256,760.0
1490338244.356882,12980760,1210.0
1490338344.552403,13023148,300.0
1490338444.693945,13065550,700.0
1490338545.159086,13108105,200.0
1490338645.304548,13150349,1160.0
1490338745.327572,13192701,750.0
1490338845.609042,13235465,380.0
1490338945.843725,13277621,430.0
1490339046.23121,13320274,300.0
1490339146.261955,13362673,400.0
1490339246.35913,13404479,480.0
1490339346.566502,13446965,570.0
1490339446.60848,13489126,220.0
1490339546.898982,13531260,200.0
1490339647.068145,13573722,230.0
1490339747.303078,13616298,370.0
1490339847.43394,13658305,690.0
1490339947.572387,13700703,710.0
1490340047.874146,13743022,390.0
1490340148.119995,13785383,880.0
1490340248.352578,13827879,1210.0
1490340348.6514,13869976,310.0
1490340448.954746,13912326,780.0
1490340548.898501,13954825,710.0
1490340649.04095,13996960,430.0
1490340749.196872,14039467,260.0
1490340849.314593,14081896,420.0
1490340949.781451,14124092,440.0
1490341049.798237,14166546,360.0
1490341150.095039,14209161,220.0
1490341250.367493,14251241,1150.0
1490341350.524674,14293715,280.0
1490341450.601044,14335962,1490.0
1490341550.801191,14378026,560.0
1490341650.985917,14420748,650.0
1490341751.259593,14462832,900.0
1490341851.277061,14504838,410.0
1490341951.430595,14547385,950.0
1490342051.523447,14589510,640.0
1490342151.740902,14631962,630.0
1490342251.883187,14674310,210.0
1490342351.986078,14716313,1030.0
1490342452.013717,14758637,300.0
1490342552.295617,14801023,340.0
1490342652.582667,14843121,260.0
1490342752.724557,14885652,360.0
1490342852.836046,14927893,100.0
1490342953.073318,14969834,970.0
1490343053.344782,15012382,230.0
1490343153.435443,15054586,500.0
1490343253.65954,15097006,930.0
1490343353.821177,15139319,730.0
1490343454.063302,15181539,470.0
1490343554.124105,15223617,520.0
1490343654.112027,15265524,510.0
1490343754.222869,15307756,470.0
1490343854.420245,15350028,390.0
1490343954.760678,15392339,510.0
1490344054.761049,15434464,530.0
1490344154.962301,15476875,250.0
1490344255.163531,15519251,680.0
1490344355.448879,15561214,270.0
1490344455.46133,15603759,450.0
1490344555.741667,15645974,280.0
1490344655.869564,15688184,1090.0
1490344755.921078,15730678,840.0
1490344856.028592,15772593,240.0
